"author","count","titles"
"Erik Nayman","4","Buy Cheap Sell Expensive (RU) | Small Trader Encyclopedia (RU) | Master Trading (RU) | Trader-Investor (RU)"
"V.I. Safin","4","Who Do Japanese Candles Shine For (RU) | How to See Money on the Monitor (RU) | Trader Trading System: Success Factor (RU) | Intraday System: 5 Points for Success (RU)"
"Jack Schwager","4","Technical Analysis (full course, RU) | Market Wizards (RU) | Stock Market Wizards (RU) | The New Market Wizards (RU)"
"Alexander Kurguzkin","3","Birzhevoy treyding: sistemnyy podhod (2009) | Labyrinth (RU) | Trading: Game Structure (RU)"
"M. Chekulaev","3","Risk Management (RU) | Trading Volatility (alt version, RU) | Trading Volatility (RU)"
"Michael Covel","2","Trend Following (RU) | The Complete TurtleTrader (RU)"
"Nassim Taleb","2","The Black Swan (RU) | Fooled by Randomness (RU)"
"Kathy Lien","2","Prop Trading Secrets (RU) | Millionaire Traders (RU)"
"Bill Williams","2","New Trading Dimensions (RU) | Trading Chaos 2 (RU)"
"Alexander Elder","2","Trading for a Living basics (RU) | Trading: First Steps (RU)"
"Steve Nison","2","Japanese Candlestick Charting (RU) | Beyond Candlesticks (RU)"
"James Dalton","2","Markets in Profile | Mind Over Markets / Footprint (RU)"
"Van Tharp","2","Super Trader (RU) | Trade Your Way to Financial Freedom (RU)"
"Robert Fisher","2","Fibonacci Applications for Traders (RU) | New Fibonacci Trading Methods (RU)"
"William Bernstein","1","The Intelligent Asset Allocator (RU)"
"Satyajit Das","1","Traders, Guns & Money (RU)"
"Max Gunther","1","The Zurich Axioms (RU)"
"Connie Bruck","1","The Predators' Ball (RU)"
"Deborah Weir","1","Timing the Markets (RU)"
"Ken Wolff","1","Momentum Investing (RU)"
"Kenneth Grant","1","Trading Risk (RU)"
"Peter Bernstein","1","Against the Gods (RU)"
"George Akerlof, Robert Shiller","1","Phishing for Phools (RU)"
"Terry Burnham","1","Mean Markets and Lizard Brains (RU)"
"Tolly","1","Playing the Short Side (RU)"
"Michael Lewis","1","The Big Short (RU)"
"Richard Thaler, Cass Sunstein","1","Nudge"
"Victor Sperandeo","1","Trader Vic II (RU)"
"Edwin Lefèvre","1","Reminiscences of a Stock Operator (RU)"
"David Cohen","1","Fear, Greed and Panic (RU)"
"A. Burenin","1","Futures, Forwards and Options Markets (RU)"
"Kevin Connolly","1","Buying and Selling Volatility (RU)"
"A. Feldman","1","Derivatives: Financial and Commodity (RU)"
"Vladimir Popov","1","ICO: Essence, Problems, Law (RU)"
"Nathaniel Popper","1","Digital Gold (RU)"
"Adam Tepper","1","Bitcoin and Money (RU)"
"Matt Weisfeld","1","The Object-Oriented Thought Process (RU)"
"Maxim Kotin","1","Geeks Do Business Too (RU)"
"Karl Popper","1","The Logic of Scientific Discovery (RU)"
"A. Shvedov","1","Interest Rate Instruments: Pricing & Hedging (RU)"
"Cory Althoff","1","Self-Taught Computer Scientist (RU)"
"Mikhail Flenov","1","C# Bible 4th ed. 2019 (RU)"
"Benjamin Graham","1","Security Analysis (RU)"
"F.A. Hayek","1","Hayek on Money"
"Peter Krass","1","The Book of Investing Wisdom (RU)"
"Ralph Vince","1","The Mathematics of Money Management (RU)"
"John Bogle","1","The Clash of the Cultures (RU)"
"Philip Fisher","1","Common Stocks and Uncommon Profits (RU)"
"James Weatherall","1","The Physics of Wall Street (RU)"
"R. Yamarone","1","The Trader's Guide to Key Economic Indicators (RU)"
"Andreas Antonopoulos","1","Mastering Bitcoin"
"Scott Patterson","1","The Quants (RU)"
"Vera Smith","1","The Rationale of Central Banking (RU)"
"K. Tsarikhin","1","Fundamental Analysis (RU)"
"John Murphy?","1","The Visual Investor (RU)"
"John Murphy","1","Technical Analysis of the Financial Markets (RU)"
"Edgar Peters","1","Fractal Market Analysis (RU)"
"Greg Morris","1","Candlestick Charting Explained (RU)"
"James Hyerczyk","1","Pattern, Price & Time / Gann (RU)"
"T. Joseph","1","Simplified Elliott Wave (RU)"
"F. Ahundov","1","The Whole Truth About Forex (RU)"
"S. Belyaev","1","Trading System: Next Candle Calculation (RU)"
"Tom Williams","1","Master the Markets / VSA (RU)"
"Martin Pring","1","On Price Patterns (RU)"
"Safonov","1","Practical Elliott Wave (RU)"
"D. Hutson","1","Wyckoff Method (RU)"
"John Bollinger","1","Bollinger on Bollinger Bands (RU)"
"A.G. Bolton","1","Complete Elliott Wave Works (RU)"
"Rick Bensignor","1","New Thinking in Technical Analysis (RU)"
"Steven Achelis","1","Technical Analysis from A to Z (RU)"
"A.A. Almazov","1","Fractal Theory (RU)"
"Robert Colby","1","Encyclopedia of Technical Market Indicators (RU)"
"A.J. Frost, Robert Prechter","1","Elliott Wave Principle (RU)"
"Joe DiNapoli","1","DiNapoli Levels (RU)"
"V. Boriskin","1","Harmonic Wave Analysis (RU)"
"Tom DeMark","1","The New Science of Technical Analysis (RU)"
"Robert Pardo","1","Design, Testing, and Optimization of Trading Systems (RU)"
"Curtis Faith?","1","Way of the Turtle (RU)"
"William O'Neil","1","How to Make Money in Stocks (RU)"
"R. Jones","1","The Trading Game (RU)"
"Charles LeBeau, David Lucas","1","Computer Analysis of the Futures Market (RU)"
"Stanbridge","1","Trader Self-Study Guide (RU)"
"Van Tharp, Brian June","1","Intraday Trading Secrets (RU)"
"Solabuto","1","Trading Systems and Methods (RU)"
"Linda Raschke, Laurence Connors","1","Street Smarts (RU)"
"Gary Smith","1","How I Trade and Invest (RU)"
"A. Gerchik, S. Bychenok","1","Active Trader Course (RU)"
"Jeffrey Katz, Donna McCormick","1","Encyclopedia of Trading Strategies (RU)"
"Curtis Faith","1","Trading from Your Gut (RU)"
"Yu. Chebotarev","1","Trading Robots on Russian Equity Market (RU)"
"Lewis Borsellino","1","Day Trading Workbook (RU)"
"S. Bulashev","1","Statistics for Traders (RU)"
"Jesse Livermore (about)","1","Livermore Formula (RU)"
"M. Friedfertig, D. West","1","Electronic Day Trading (RU)"
"D. Ferguson","1","Martingale Method (RU)"
"K. Farrell","1","Day Trade Online (RU)"
"Feniks Institute","1","Begushchie po grablyam: 10 critical trader mistakes (2016)"
