"id","category","author","title","tags","notes","duplicate_candidate","format","size_mb","relative_path","original_name"
"B001","_large","","Data Mining methods for complex systems (RU)","ml;datamining;quant;large","Isolated in _large (~328MB scan)","False","pdf","327,74","_large/Data Mining - metody analiza modeley slozhnyh sistem.pdf","Data Mining - metody analiza modeley slozhnyh sistem.pdf"
"B002","01_technical_analysis","Steven Achelis","Technical Analysis from A to Z (RU)","ta","","False","doc","4,7","01_technical_analysis/Achelis Steven - Tekhnicheskiy analiz ot A do Ya.doc","Технический анализ от А до Я (Акелис).doc"
"B003","01_technical_analysis","A.A. Almazov","Fractal Theory (RU)","fractals;ta","","False","pdf","6,85","01_technical_analysis/Almazov A.A. - Fraktalnaya teoriya.pdf","_Алмазов А.А., Фрактальная теория.pdf"
"B004","01_technical_analysis","Rick Bensignor","New Thinking in Technical Analysis (RU)","ta","","False","pdf","7,13","01_technical_analysis/Bensignor R - Novoe myshlenie v tehanalize.pdf","R.Bensignor_(sost).Novoe_myishlenie_v_tehnicheskom_analize.pdf"
"B005","01_technical_analysis","John Bollinger","Bollinger on Bollinger Bands (RU)","bollinger;ta","","False","pdf","5,31","01_technical_analysis/Bollinger John - O lentah Bollingera.pdf","bollindzher_o_lentah_bollindzhera.pdf"
"B006","01_technical_analysis","A.G. Bolton","Complete Elliott Wave Works (RU)","elliott;ta","","False","pdf","4,2","01_technical_analysis/Bolton A.G. - Polnoe sobranie rabot po volnam Elliotta.pdf","А.Г.Болтон.Полное собрание работ по волнам Эллиотта.pdf"
"B007","01_technical_analysis","V. Boriskin","Harmonic Wave Analysis (RU)","harmonic;ta","","False","pdf","2,45","01_technical_analysis/Boriskin V - Garmonicheskiy volnovoy analiz.pdf","В.Борискин.Гармонический волновой анализ финансовых рынков.pdf"
"B008","01_technical_analysis","James Dalton","Markets in Profile","market-profile;ta","","False","pdf","8,73","01_technical_analysis/Dalton James - Markets in Profile.pdf","James Dalton-Markets in Profile.pdf"
"B009","01_technical_analysis","James Dalton","Mind Over Markets / Footprint (RU)","market-profile;footprint;ta","","False","pdf","10,28","01_technical_analysis/Dalton James - Razum nad rynkami footprint.pdf","ДжеймсДалтон-Разум над рынками-футпринт.pdf"
"B010","01_technical_analysis","Tom DeMark","The New Science of Technical Analysis (RU)","demark;ta","","False","pdf","2,3","01_technical_analysis/DeMark Tom - Tekhnicheskiy analiz.pdf","T_Demark-tehnicheskiy-analiz.pdf"
"B011","01_technical_analysis","Joe DiNapoli","DiNapoli Levels (RU)","dinapoli;ta","","False","pdf","4,89","01_technical_analysis/DiNapoli Joe - Torgovye urovni.pdf","dinapoli.pdf"
"B012","01_technical_analysis","","Elliott: Gold Trading Interval (RU)","elliott;gold;ta","","False","pdf","1,39","01_technical_analysis/Elliott - Interval torgovli zolotom.pdf","Элиот. Интервал торговли золотом.pdf"
"B013","01_technical_analysis","Robert Colby","Encyclopedia of Technical Market Indicators (RU)","indicators;ta;colby","Author attributed by common RU edition","False","pdf","38,8","01_technical_analysis/Entsiklopediya tehnicheskih indikatorov rynka.pdf","Энциклопедия технических индикаторов рынка.pdf"
"B014","01_technical_analysis","Robert Fisher","Fibonacci Applications for Traders (RU)","fibonacci;ta","","False","pdf","1,6","01_technical_analysis/Fisher R - Fibonacci dlya treyderov.pdf","R_Fisher_Posledovatelnost_Fibonachchi_Prilozhenia_i_strategii_dlya_treyderov.pdf"
"B015","01_technical_analysis","Robert Fisher","New Fibonacci Trading Methods (RU)","fibonacci;ta","","False","pdf","5,88","01_technical_analysis/Fisher R - Novye metody torgovli po Fibonachchi.pdf","Р.Фишер.Новые методы торговли по Фибоначчи.pdf"
