"tag","count","ids"
"algo","1","B042"
"alt-version","1","B139"
"anthology","1","B126"
"asset-allocation","2","B111,B119"
"axioms","1","B095"
"backtest","1","B071"
"behavior","3","B105,B106,B108"
"bio","1","B104"
"bitcoin","3","B133,B136,B137"
"black-swan","1","B115"
"bogle","1","B121"
"bollinger","1","B005"
"brochure","1","B051"
"business","1","B149"
"candles","5","B023,B025,B026,B029,B039"
"caution","1","B052"
"central-banking","1","B129"
"chaos","1","B034"
"classic","1","B097"
"clearing","1","B117"
"colby","1","B013"
"core","1","B133"
"course","6","B051,B061,B079,B080,B081,B084"
"crashes","1","B114"
"crisis","1","B098"
"cs","1","B144"
"csharp","1","B145"
"das","1","B094"
"datamining","1","B001"
"daytrading","2","B040,B050"
"defi","1","B134"
"demark","1","B010"
"derivatives","2","B138,B142"
"derivatives-narrative","1","B094"
"diary","1","B045"
"dinapoli","1","B011"
"divergence","1","B031"
"elder","2","B046,B047"
"elliott","5","B006,B012,B016,B020,B030"
"fibonacci","2","B014,B015"
"fisher","1","B122"
"footprint","1","B009"
"forex","4","B036,B037,B038,B062"
"fractals","2","B003,B027"
"frost","1","B016"
"fundamental","2","B123,B130"
"futures","1","B060"
"gann","1","B018"
"gerchik","1","B055"
"gold","1","B012"
"graham","1","B124"
"growth","1","B122"
"harmonic","1","B007"
"hayek","1","B125"
"hedging","2","B045,B143"
"hft","1","B089"
"history","2","B093,B136"
"ichimoku","1","B019"
"ico","1","B135"
"index","1","B121"
"indicators","2","B013,B132"
"intraday","4","B054,B072,B077,B087"
"kelly","1","B118"
"kurguzkin","3","B057,B058,B059"
"large","1","B001"
"lebeau","1","B060"
"lectures","1","B061"
"lewis","1","B098"
"livermore","3","B053,B097,B104"
"macro","2","B125,B132"
"market-profile","2","B008,B009"
"markets","1","B128"
"martingale","1","B052"
"ml","2","B001,B146"
"momentum","2","B022,B091"
"money-management","1","B118"
"murphy","1","B024"
"narrative","4","B092,B098,B127,B151"
"nayman","4","B066,B067,B068,B069"
"needs-review","4","B096,B109,B146,B151"
"nison","2","B025,B026"
"nudge","1","B108"
"oil","1","B072"
"oneil","1","B070"
"oop","1","B148"
"options","3","B139,B140,B141"
"patterns","1","B028"
"philosophy","1","B150"
"pnf","1","B021"
"practice","2","B056,B082"
"prechter","1","B016"
"price-action","1","B072"
"prop","2","B062,B063"
"psychology","3","B051,B064,B107"
"quant","2","B001,B127"
"quant-history","1","B131"
"raschke","1","B074"
"rates","1","B143"
"risk","6","B112,B113,B114,B115,B116,B117"
"risk-history","1","B110"
"robots","1","B042"
"rust","1","B147"
"safin","4","B029,B075,B076,B077"
"schwager","4","B032,B099,B100,B101"
"science","1","B150"
"shorting","1","B103"
"sperandeo","1","B102"
"startup","1","B149"
"stats","1","B041"
"stocks","2","B070,B078"
"strategies","1","B048"
"systems","12","B039,B048,B057,B058,B059,B060,B064,B065,B071,B074,B076,B083"
"ta","36","B002,B003,B004,B005,B006,B007,B008,B009,B010,B011,B012,B013,B014,B015,B016,B017,B018,B019,B020,B021,B022,B023,B024,B025,B026,B027,B028,B029,B030,B031,B032,B033,B034,B035,B060,B088"
"taleb","2","B115,B116"
"textbook","1","B128"
"tharp","3","B085,B086,B087"
"timing","1","B090"
"trading","1","B092"
"trend-following","2","B043,B044"
"trends","1","B088"
"turtles","3","B044,B049,B073"
"unidentified","1","B096"
"us-markets","1","B120"
"value","1","B124"
"volatility","3","B139,B140,B141"
"vsa","1","B035"
"williams","3","B033,B034,B035"
"wizards","3","B099,B100,B101"
"wyckoff","1","B017"
