id,category,kind,title,purpose,genesis_organs,priority,notes,format,size_mb,relative_path,original_name
T001,03_time_datetime,datetime,Time - Add Subtract,Add/subtract time intervals,session_profile;market_tempo,P2,,rar,0.056,03_time_datetime/Time - Add Subtract.rar,AddSubtractTime.rar
T002,01_indicators,indicator,Indicator - Bollinger Bands Channel,Bollinger channel envelope,chart_structure;volatility,P2,,zip,0.179,01_indicators/Indicator - Bollinger Bands Channel.zip,BollingerBands_канал.zip
T003,02_trade_control,trade_guard,Trade - Check Trade Settings,Pre-trade settings validation cube,spread_entry_cost;liquidity,P1,Useful pattern for readiness gates (research only),rar,0.143,02_trade_control/Trade - Check Trade Settings.rar,CheckTradeSettings.rar
T004,04_risk_money_stats,costs,Money - Commission Advanced,Advanced commission model,spread_entry_cost,P1,Cost realism for research backtests,rar,0.082,04_risk_money_stats/Money - Commission Advanced.rar,ComissionAdv.rar
T005,04_risk_money_stats,stats,Stats - Correlation,Correlation block,cross_symbol_correlation,P2,,rar,0.098,04_risk_money_stats/Stats - Correlation.rar,Correlation.rar
T006,03_time_datetime,datetime,Time - DateTime Constant,Datetime constant source,session_profile,P3,,rar,0.089,03_time_datetime/Time - DateTime Constant.rar,DateTimeConstant.rar
T007,04_risk_money_stats,pnl,Money - Income For Period,Income over period,market_context,P2,,rar,0.382,04_risk_money_stats/Money - Income For Period.rar,Dohod_za_Period.rar
T008,03_time_datetime,datetime,Time - Double To Text Date,Numeric date to text,session_profile,P3,,rar,0.015,03_time_datetime/Time - Double To Text Date.rar,DoubleToTextDate.rar
T009,04_risk_money_stats,risk,Risk - Balance Control,Balance / equity control helper,liquidity;volatility,P1,,rar,0.11,04_risk_money_stats/Risk - Balance Control.rar,gaaDifferent_BalanceControl.rar
T010,04_risk_money_stats,risk,Risk - Ticket Risk Data,Per-ticket risk data block,spread_entry_cost;liquidity,P1,,rar,0.044,04_risk_money_stats/Risk - Ticket Risk Data.rar,gaaMarketData_TicketRiskData.rar
T011,04_risk_money_stats,stats,Stats - Period Statistic,Period statistics aggregation,market_context;volatility,P2,,rar,0.207,04_risk_money_stats/Stats - Period Statistic.rar,gaaStatData_PeriodStatistic.rar
T012,05_data_io_utils,state,Data - Inter Recalc Memorizer,Memoization across recalculation,market_tempo,P1,Observer continuity / state pattern analog,rar,0.064,05_data_io_utils/Data - Inter Recalc Memorizer.rar,InterRecalcMemorizer.rar
T013,02_trade_control,trade_state,Trade - Is Position Long Short,Position side detector,market_context,P2,,rar,0.085,02_trade_control/Trade - Is Position Long Short.rar,IsPositionLong_Short.rar
T014,02_trade_control,trade_guard,Trade - Is Ready For Trade,Ready-to-trade predicate,spread_entry_cost;liquidity,P1,,rar,0.097,02_trade_control/Trade - Is Ready For Trade.rar,IsReadyForTrade.rar
T015,02_trade_control,trade_state,Trade - Locked Money,Locked margin/money observation,liquidity,P2,,rar,0.019,02_trade_control/Trade - Locked Money.rar,LockedMoney3.rar
T016,01_indicators,indicator,Indicator - LSMA,Least Squares Moving Average,chart_structure,P3,,zip,0.106,01_indicators/Indicator - LSMA.zip,LSMA-Индикатор.zip
T017,01_indicators,indicator,Indicator - MFI,Money Flow Index,chart_structure;impulse_quality,P3,,zip,0.181,01_indicators/Indicator - MFI.zip,MFI_Индикатор TSLab.zip
T018,01_indicators,indicator,Indicator - PMA,PMA indicator block,chart_structure,P3,,rar,0.145,01_indicators/Indicator - PMA.rar,PMA_IndicatorTsLab.rar
T019,02_trade_control,trade_state,Trade - Positions Info,Open positions information,market_context,P2,,rar,0.047,02_trade_control/Trade - Positions Info.rar,PositionsInfo.rar
T020,05_data_io_utils,tempo,Tempo - Random Metronome,Random metronome tick source,market_tempo,P3,,rar,0.07,05_data_io_utils/Tempo - Random Metronome.rar,RandomMetronome.rar
T021,01_indicators,indicator,Indicator - SMA Adaptive Period,SMA with adaptive period,chart_structure;volatility,P2,,rar,0.001,01_indicators/Indicator - SMA Adaptive Period.rar,SMAсАдаптивнымПериодом.rar
T022,04_risk_money_stats,stats,Stats - Smirnov Coefficient,Smirnov coefficient block,market_context,P3,,rar,0.045,04_risk_money_stats/Stats - Smirnov Coefficient.rar,SmirnovCoef.rar
T023,03_time_datetime,datetime,Time - System Date,System date block,session_profile,P3,,rar,0.066,03_time_datetime/Time - System Date.rar,SystemDate.rar
T024,04_risk_money_stats,stats,Stats - Trades Distribution,Trade distribution analytics,market_context,P2,,rar,0.114,04_risk_money_stats/Stats - Trades Distribution.rar,TradesDistribution.rar
T025,04_risk_money_stats,logging,Stats - Trades Logger,Trades logging cube,market_context,P2,,rar,0.076,04_risk_money_stats/Stats - Trades Logger.rar,TradesLoger.rar
T026,07_toolkits_bundles,toolkit,Bundle - TSBTD v1.0,TSBTD toolkit v1.0,market_context,P3,,rar,2.471,07_toolkits_bundles/Bundle - TSBTD v1.0.rar,TSBTD v1.0.rar
T027,07_toolkits_bundles,toolkit,Bundle - TsLab Mega Toolzer,Large multi-tool pack,market_context,P2,Inspect before reuse; treat as vendor bundle,rar,8.371,07_toolkits_bundles/Bundle - TsLab Mega Toolzer.rar,TsLabMegaTulzer.rar
T028,01_indicators,indicator,Indicator - Volatility Index,Volatility index sensor,volatility,P2,,rar,0.004,01_indicators/Indicator - Volatility Index.rar,VolatilityIndex.rar
